author	epoche	genre	title	textPath
Dorn, Thea	Gegenwart	Roman	Die Ungluckseligen	gegenwart/Dorn_Die_Ungluckseligen.txt
Genazino, Wilhelm	Gegenwart	Roman	Ein Regenschirm für diesen Tag	gegenwart/Genazino_Ein_Regenschirm_fuer_diesen_Tag.txt
Herrndorf, Wolfgang	Gegenwart	Roman	Diesseits des Van-Allen-Gurtels	gegenwart/Herrndorf_Diesseits_des_Van-Allen-Gurtels.txt
Herrndorf, Wolfgang	Gegenwart	Roman	Tschick	gegenwart/Herrndorf_Tschick.txt
Hilbig, Wolfgang	Gegenwart	Erzählung	Alte Abdeckerei	gegenwart/Hilbig_Alte_Abdeckerei.txt
Hilbig, Wolfgang	Gegenwart	Erzählung	Die Kunde von den Bäumen	gegenwart/Hilbig_Die_Kunde_von_den_Baeumen.txt
Hoppe, Felicitas	Gegenwart	Roman	Paradiese, Übersee	gegenwart/Hoppe_Paradiese_Uebersee.txt
Krausser, Helmut	Gegenwart	Roman	UC	gegenwart/Krausser_UC.txt
Modick, Klaus	Gegenwart	Roman	Fahrtwind	gegenwart/Modick_Fahrtwind.txt
Zschokke, Matthias	Gegenwart	Roman	Der Mann mit den zwei Augen	gegenwart/Zschokke_Der_Mann_mit_den_zwei_Augen.txt
Strauss, Simon	Gegenwart	Roman	Römische Tage	gegenwart/Strauss_Romische_Tage.txt